mu,seed,ordered,fdom_mean,fdom_std
0.34,50,False,0.921142578125,0.011104630610285077
0.34,51,False,0.9210673014322917,0.010783062051599051
0.34,52,False,0.9208821614583333,0.011435692266200018
0.34,53,False,0.918719482421875,0.013948237275371983
0.34,54,False,0.919305419921875,0.01289515897218119
0.34,55,False,0.9198160807291667,0.010899688819016953
0.34,56,False,0.91910400390625,0.012266594591309087
0.34,57,False,0.9207661946614584,0.012167794641535307
0.34,58,False,0.9171183268229167,0.014047087358833922
0.34,59,False,0.9218424479166667,0.00891037657619231
0.34,6,False,0.9193257649739583,0.012994447199015147
0.34,60,False,0.92076416015625,0.011232916523749826
0.34,61,False,0.9226847330729167,0.010244176375855323
0.34,62,False,0.91971435546875,0.012593221746429606
0.34,63,False,0.9152303059895833,0.015973338719289062
0.34,7,False,0.91759033203125,0.014782494759384784
0.34,8,False,0.9200846354166666,0.01146875687638532
0.34,9,False,0.9145039876302083,0.016157922141517535
0.355,0,False,0.3544514973958333,0.014547716652933177
0.355,1,False,0.875872802734375,0.041588244000179575
0.355,10,False,0.356768798828125,0.013888702805252692
0.355,11,False,0.8631673177083333,0.05307104169174687
0.355,12,False,0.5045979817708334,0.1917833339868769
0.355,13,False,0.7405192057291666,0.18939050598717075
0.355,14,False,0.6828959147135417,0.21048862869106433
0.355,15,False,0.5295756022135417,0.19766289060500475
0.355,16,False,0.3535054524739583,0.011310942359655457
0.355,17,False,0.8620707194010416,0.055469131654969576
0.355,18,False,0.891534423828125,0.030061762557828945
0.355,19,False,0.36013387044270834,0.012960162434631496
0.355,2,False,0.3619608561197917,0.015738768315373304
0.355,20,False,0.37047119140625,0.05720648733505395
0.355,21,False,0.357275390625,0.01644275932396744
0.355,22,False,0.36154581705729166,0.01721827384261899
0.355,23,False,0.3572489420572917,0.015411315179245695
0.355,24,False,0.360321044921875,0.019144396183347206
0.355,25,False,0.35047607421875,0.01186014702134891
0.355,26,False,0.36081136067708336,0.018279764254514354
0.355,27,False,0.36334228515625,0.026374618048410757
0.355,28,False,0.823297119140625,0.09097453371305247
0.355,29,False,0.3603902180989583,0.01676335119005175
0.355,3,False,0.36074422200520834,0.01899488644305622
0.355,30,False,0.6905965169270833,0.202619053286375
0.355,31,False,0.35933024088541665,0.01625873102887569
0.355,32,False,0.35595296223958334,0.012531920578143866
0.355,33,False,0.3552775065104167,0.011165216294796986
0.355,34,False,0.35380859375,0.010704487623365169
0.355,35,False,0.35593058268229166,0.015023781773420338
0.355,36,False,0.8263224283854167,0.09250293679415303
0.355,37,False,0.47342529296875,0.16326387151686228
0.355,38,False,0.553521728515625,0.2127435166317183
0.355,39,False,0.35894775390625,0.016231649258706713
0.355,4,False,0.8532796223958333,0.06139119125656965
0.355,40,False,0.3575439453125,0.014858987583227009
0.355,41,False,0.355706787109375,0.013733555305303168
0.355,42,False,0.5940694173177083,0.21739220239520668
0.355,43,False,0.3572163899739583,0.019148097774494572
0.355,44,False,0.3593221028645833,0.01524499484996459
0.355,45,False,0.6169921875,0.2122904804650192
0.355,46,False,0.35937296549479164,0.014446618646154395
0.355,47,False,0.6158548990885416,0.2148006974538567
0.355,48,False,0.35754597981770836,0.015420718611022758
0.355,49,False,0.3585408528645833,0.014072721204663848
0.355,5,False,0.3633015950520833,0.020858838443149622
0.355,50,False,0.353546142578125,0.011829318198453648
0.355,51,False,0.3570068359375,0.013044089212166727
0.355,52,False,0.35833333333333334,0.02007226547586498
0.355,53,False,0.35797526041666666,0.011879328697247572
0.355,54,False,0.3609395345052083,0.014573737376309463
0.355,55,False,0.7650655110677084,0.16370687928546782
0.355,56,False,0.35769449869791664,0.017603790008307557
0.355,57,False,0.35299275716145834,0.013698512724320107
0.355,58,False,0.36227620442708336,0.01572754693691537
0.355,59,False,0.35642903645833335,0.015302759995635505
0.355,6,False,0.407623291015625,0.11604568287940903
0.355,60,False,0.357928466796875,0.017563468686355607
0.355,61,False,0.356732177734375,0.014318325144846048
0.355,62,False,0.34983723958333335,0.009534490239531129
0.355,63,False,0.35858154296875,0.013496003433565723
0.355,7,False,0.3590169270833333,0.014246907120698402
0.355,8,False,0.3526835123697917,0.011987264114729035
0.355,9,False,0.35972493489583335,0.019389969911591864
0.35,0,False,0.43220621744791665,0.13574279120270602
0.35,1,False,0.864178466796875,0.05272138258924697
0.35,10,False,0.9078715006510417,0.018924098793554632
0.35,11,False,0.849951171875,0.06781700705274632
0.35,12,False,0.8572102864583333,0.05924080929628755
0.35,13,False,0.860748291015625,0.05664572363957761
0.35,14,False,0.6831929524739583,0.21241190903173418
0.35,15,False,0.8936930338541667,0.029488319216266507
0.35,16,False,0.851580810546875,0.06501405166311976
0.35,17,False,0.8066670735677083,0.132448545453315
0.35,18,False,0.9041768391927083,0.022028976504239427
0.35,19,False,0.8960530598958333,0.027844658974384907
0.35,2,False,0.8777750651041667,0.04135915228916592
0.35,20,False,0.906951904296875,0.018862343700137188
0.35,21,False,0.87457275390625,0.04532580180429459
0.35,22,False,0.894256591796875,0.02973366857535793
0.35,23,False,0.84542236328125,0.07081960598845169
